дата;вопрос;категория;время_ответа;оценка;дефект
22.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;6,9;правильный;
22.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,7;вода;Вне тематики
22.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;7,0;правильный;
22.07.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;3,3;правильный;
22.07.2026;Как оплатить налоги через приложение?;Прочее;6,0;частично верный;Нет цифр
22.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,6;правильный;
22.07.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;3,1;правильный;
22.07.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;6,3;вода;Вне тематики
22.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,6;правильный;
22.07.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,2;правильный;
22.07.2026;Как выставить ЭСФ?;НДС и пороги;3,8;правильный;
22.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);4,2;правильный;
22.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);5,9;правильный;
22.07.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;3,9;правильный;
22.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);4,8;правильный;
22.07.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;6,1;правильный;
22.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,4;частично верный;Противоречие в ответе
22.07.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;4,6;правильный;
22.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;3,8;правильный;
22.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,1;правильный;
22.07.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;5,0;правильный;
22.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,1;частично верный;Пробел в базе знаний
22.07.2026;Как выставить ЭСФ?;НДС и пороги;4,8;правильный;
23.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,8;правильный;
23.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,7;правильный;
23.07.2026;Что будет за просрочку сдачи 910?;Прочее;5,3;правильный;
23.07.2026;Как выставить ЭСФ?;НДС и пороги;6,9;правильный;
23.07.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;4,6;правильный;
23.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,1;вода;Вне тематики
23.07.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,6;правильный;
23.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;8,2;правильный;
23.07.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;3,2;правильный;
23.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;3,9;частично верный;Пробел в базе знаний
23.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;13,8;правильный;
23.07.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;3,5;правильный;
23.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,8;правильный;
23.07.2026;Какая ставка НДС в 2026 году?;НДС и пороги;4,1;правильный;
23.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,7;правильный;
23.07.2026;Что будет за просрочку сдачи 910?;Прочее;5,3;правильный;
23.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;6,1;правильный;
23.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,9;вода;Вне тематики
23.07.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;6,6;правильный;
23.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,3;правильный;
23.07.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;3,1;правильный;
23.07.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;3,7;правильный;
23.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;5,3;правильный;
23.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;6,4;правильный;
23.07.2026;Что будет за просрочку сдачи 910?;Прочее;4,0;правильный;
23.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;5,7;правильный;
24.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,0;правильный;
24.07.2026;Что будет за просрочку сдачи 910?;Прочее;3,6;правильный;
24.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;11,4;правильный;
24.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);4,1;правильный;
24.07.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;3,3;правильный;
24.07.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;3,5;правильный;
24.07.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;5,5;правильный;
24.07.2026;Какая ставка НДС в 2026 году?;НДС и пороги;6,4;правильный;
24.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,1;правильный;
24.07.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;5,5;ошибка;Противоречие в ответе
24.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;13,6;вода;Вне тематики
24.07.2026;Какая ставка НДС в 2026 году?;НДС и пороги;3,1;правильный;
24.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,2;правильный;
24.07.2026;Какая ставка НДС в 2026 году?;НДС и пороги;3,2;частично верный;Пробел в базе знаний
24.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,4;правильный;
25.07.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;6,7;частично верный;Противоречие в ответе
25.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,5;правильный;
25.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,1;правильный;
25.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;4,2;правильный;
25.07.2026;Что будет за просрочку сдачи 910?;Прочее;13,7;правильный;
25.07.2026;Как оплатить налоги через приложение?;Прочее;6,0;правильный;
25.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;6,7;правильный;
25.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,0;правильный;
25.07.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;4,6;частично верный;Пробел в базе знаний
25.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,8;правильный;
25.07.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;11,5;правильный;
25.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,3;правильный;
25.07.2026;Как выставить ЭСФ?;НДС и пороги;3,8;правильный;
25.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;7,3;правильный;
25.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;6,9;ошибка;Противоречие в ответе
25.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);5,6;частично верный;Противоречие в ответе
25.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);11,9;правильный;
25.07.2026;Что будет за просрочку сдачи 910?;Прочее;3,6;правильный;
25.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,5;ошибка;Противоречие в ответе
25.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,0;правильный;
26.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;6,2;правильный;
26.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);5,2;правильный;
26.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,6;правильный;
26.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,4;правильный;
26.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);8,2;частично верный;Противоречие в ответе
26.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;4,2;правильный;
26.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,8;правильный;
26.07.2026;Что будет за просрочку сдачи 910?;Прочее;5,7;правильный;
26.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);3,8;правильный;
26.07.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);11,4;правильный;
26.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);3,9;правильный;
26.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,1;правильный;
26.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,5;правильный;
26.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;7,0;правильный;
26.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,3;правильный;
27.07.2026;Как оплатить налоги через приложение?;Прочее;4,9;ошибка;Устаревшая ставка (ИПН)
27.07.2026;Какая ставка НДС в 2026 году?;НДС и пороги;5,7;правильный;
27.07.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;12,8;правильный;
27.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,3;правильный;
27.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;11,1;правильный;
27.07.2026;Как выставить ЭСФ?;НДС и пороги;4,9;правильный;
27.07.2026;Как оплатить налоги через приложение?;Прочее;4,3;правильный;
27.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;6,6;правильный;
27.07.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);9,0;частично верный;Нет цифр
27.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,0;правильный;
